,gid,id_merchant,id_brand,nama_merchant,alamat_merchant,phone_merchant,longitude,latitude,kode_desa,kode_brand,id_desa,geom,nama_brand,nama_sub_kategori,nama_kategori
0,5431345,5431345,500,By The Sea PIK,Jl. Golf Island Timur,,106.749941,-6.093372,,1601001,,POINT (106.749941 -6.093372),Luxury Shopping Center (Others),Luxury Shopping Center,Market
1,5489171,5489171,639,DCrepes Kelapa Gading Home Made (KGM 1),"Kelapa Gading Home Made (KGM 1), Jl. Boulevard Raya",,106.9078128,-6.157754,3175050002,2203006,148219.0,POINT (106.9078128 -6.157754),Fast Food (Others),Fast Food,Food Shop
2,5489172,5489172,639,DCrepes Mall Kelapa Gading 3,"Mall Kelapa Gading 3 Lantai 3, Jl. Boulevard Raya",087782835135,106.909347,-6.1560188,3175050002,2203006,148219.0,POINT (106.909347 -6.1560188),Fast Food (Others),Fast Food,Food Shop
3,5489173,5489173,639,DCrepes Emporium Pluit,"Emporium Pluit, Jl. Pluit Selatan Raya",,106.7903627,-6.1273482,3175010004,2203006,140950.0,POINT (106.7903627 -6.1273482),Fast Food (Others),Fast Food,Food Shop
4,5489205,5489205,639,DCrepes PIK Avenue Mall,"PIK Avenue Mall, Jl. Pantai Indah Kapuk",,106.740766,-6.108588,3175010001,2203006,139464.0,POINT (106.740766 -6.108588),Fast Food (Others),Fast Food,Food Shop
5,5489228,5489228,639,DCrepes Sunter Mall,"Sunter Mall, Jl. Danau Sunter Utara Kav. II",,106.8708895,-6.1379716,3175030001,2203006,141576.0,POINT (106.8708895 -6.1379716),Fast Food (Others),Fast Food,Food Shop
6,4997337,4997337,2,Terminal Tanjung Priokk,Sungai Bambu,,106.883582,-6.114139,3175030005,1109001,142830.0,POINT (106.883582 -6.114139),Bus Station (Others),Bus Station,Transportation and Logistic
7,5489245,5489245,639,DCrepes Terraza 301,"Terraza FoodCourt, Jl. Muara Karang  Raya",087873773706,106.7755931,-6.1159334,3175010005,2203006,141057.0,POINT (106.7755931 -6.1159334),Fast Food (Others),Fast Food,Food Shop
8,5431262,5431262,500,Summarecon Mall Kelapa Gading,Jl. Boulevard Raya,0,106.907968,-6.157482,3175050002,1601001,148219.0,POINT (106.907968 -6.157482),Luxury Shopping Center (Others),Luxury Shopping Center,Market
9,5489328,5489328,633,Golden Lamian Emporium Pluit Mall,"Emporium Pluit Mall, Jl. Pluit Selatan Raya",,106.7907045,-6.1274783,3175010004,2201014,140950.0,POINT (106.7907045 -6.1274783),Restaurant (Others),Restaurant,Food Shop
10,5489332,5489332,633,Golden Lamian Summarecon Mall Kelapa Gading,"Summarecon Mall Kelapa Gading, Jl. Boulevard Raya",,106.9086935,-6.1571176,3175050002,2201014,148219.0,POINT (106.9086935 -6.1571176),Restaurant (Others),Restaurant,Food Shop
11,5489333,5489333,633,Golden Lamian Mall Artha Gading,"Mall Artha Gading, Jl. Artha Gading Selatan",,106.8920575,-6.1456825,3175050001,2201014,146913.0,POINT (106.8920575 -6.1456825),Restaurant (Others),Restaurant,Food Shop
12,5431302,5431302,500,PIK Avenue,"PIK Avenue, Jl. Pantai Indah Kapuk",0,106.7404,-6.1091,3175010001,1601001,139464.0,POINT (106.7404 -6.1091),Luxury Shopping Center (Others),Luxury Shopping Center,Market
13,5431304,5431304,500,Mall Of Indonesia,Jl. Boulevard Barat Raya,0,106.891432,-6.150583,3175050001,1601001,146913.0,POINT (106.891432 -6.150583),Luxury Shopping Center (Others),Luxury Shopping Center,Market
14,5431440,5431440,502,Baywalk Mall Pluit,Jl. Pluit Karang Ayu Barat,0,106.779132,-6.107812,3175010005,1603001,141057.0,POINT (106.779132 -6.107812),Middle Shopping Center (Others),Middle Shopping Center,Market
15,5431482,5431482,502,Metro Sunter Plaza,Jl. Danau Sunter Utara Blok A2,0,106.873317,-6.136867,3175030003,1603001,142939.0,POINT (106.873317 -6.136867),Middle Shopping Center (Others),Middle Shopping Center,Market
16,5431500,5431500,502,Pluit Village Mall,Jl. Pluit Indah,0,106.789651,-6.116434,3175010005,1603001,141057.0,POINT (106.789651 -6.116434),Middle Shopping Center (Others),Middle Shopping Center,Market
17,5431527,5431527,502,Mall Artha Gading,Jl. Artha Gading Selatan No.1,0,106.891616,-6.146859,3175050001,1603001,146913.0,POINT (106.891616 -6.146859),Middle Shopping Center (Others),Middle Shopping Center,Market
18,5431529,5431529,502,Sunter Mall,Jl. Danau Sunter Utara Kav. 2,0,106.870934,-6.13815,3175030001,1603001,141576.0,POINT (106.870934 -6.13815),Middle Shopping Center (Others),Middle Shopping Center,Market
19,4997519,4997519,2,Terminal Muara Angke,Pluit,,106.77334,-6.108997,3175010005,1109001,141057.0,POINT (106.77334 -6.108997),Bus Station (Others),Bus Station,Transportation and Logistic
20,5431655,5431655,502,Pluit Junction,Jl. Jembatan 3 Raya,,106.7917732,-6.1281511,3175010004,1603001,140950.0,POINT (106.7917732 -6.1281511),Middle Shopping Center (Others),Middle Shopping Center,Market
21,5431656,5431656,502,Mahaka Square,Jl. Janur Elok III,,106.9028976,-6.1496236,3175050001,1603001,146913.0,POINT (106.9028976 -6.1496236),Middle Shopping Center (Others),Middle Shopping Center,Market
22,5431657,5431657,502,La Piazza,Jl. Boulevard Timur,,106.9064559,-6.1605269,3175050002,1603001,148219.0,POINT (106.9064559 -6.1605269),Middle Shopping Center (Others),Middle Shopping Center,Market
23,5431658,5431658,502,Food Centrum Mall,Jl. Griya Utama,,106.8544088,-6.1412577,3175030001,1603001,141576.0,POINT (106.8544088 -6.1412577),Middle Shopping Center (Others),Middle Shopping Center,Market
24,5431659,5431659,502,Emporium Pluit Mall,Jl. Pluit Selatan Raya,,106.7906979,-6.1272975,3175010004,1603001,140950.0,POINT (106.7906979 -6.1272975),Middle Shopping Center (Others),Middle Shopping Center,Market
25,5431660,5431660,502,Bella Terra Lifestyle Center,Jl. Bulevard Raya,,106.8947103,-6.1742909,3175050002,1603001,148219.0,POINT (106.8947103 -6.1742909),Middle Shopping Center (Others),Middle Shopping Center,Market
26,5431712,5431712,502,Ozone Eatery Mall,Jl. Pantai Indah Utara 3 RT 7 RW 2,02129673664,106.752465,-6.11283,3175010002,1603001,139532.0,POINT (106.752465 -6.11283),Middle Shopping Center (Others),Middle Shopping Center,Market
27,5431714,5431714,502,Mangga Dua Square,Jl. Gn. Sahari No. 1,02162313000,106.831638,-6.138784,3175020003,1603001,121304.0,POINT (106.831638 -6.138784),Middle Shopping Center (Others),Middle Shopping Center,Market
28,5192282,5192282,647,Flash Coffee Apartemen Gading Nias Tower Emerald,"Apartemen Gading Nias Tower Emerald, Jl. Pegangsaan Dua No. 3 - 13",081119124307,106.9173026,-6.1541633,3175050003,2205012,115.0,POINT (106.9173026 -6.1541633),Beverage (Others),Beverage,Food Shop
29,5192296,5192296,647,Flash Coffee Kamal Muara,"Ruko Crown Golf Blok A No. 55, Jl. Marina Raya",081119118381,106.7435749,-6.112792,3175010001,2205012,139464.0,POINT (106.7435749 -6.112792),Beverage (Others),Beverage,Food Shop
30,5192306,5192306,647,Flash Coffee Sunter Agung,"Ruko Lt. GF, Jl. Danau Sunter Utara J12 No. 56",081119036584,106.8749398,-6.1377843,3175030001,2205012,141576.0,POINT (106.8749398 -6.1377843),Beverage (Others),Beverage,Food Shop
31,5192314,5192314,647,Flash Coffee Apartemen Gading Mediterania Residence,"Apartemen Gading Mediterania Residence Tower C Lt. GF 14, Jl. Boulevard Bukit Gading Raya",081119057248,106.893436,-6.161967,3175050001,2205012,146913.0,POINT (106.893436 -6.161967),Beverage (Others),Beverage,Food Shop
32,5431779,5431779,668,City Home Apartment MOI,Kelapa Gading Barat,0,106.890072,-6.149923,3175050001,2301003,146913.0,POINT (106.890072 -6.149923),Apartment (Others),Apartment,Property
33,5431803,5431803,668,Sunter Icon Apartment,Sunter Agung,0,106.853886,-6.13465,3175030001,2301003,141576.0,POINT (106.853886 -6.13465),Apartment (Others),Apartment,Property
34,5431807,5431807,668,Teluk Intan Apartment,Jl. Teluk Intan Raya No. 1,0,106.776585,-6.127343,3175010003,2301003,140006.0,POINT (106.776585 -6.127343),Apartment (Others),Apartment,Property
35,5431831,5431831,668,Mitra Bahari Apartment,Jl. Pakin No. 1,NULL,106.805011,-6.127325,3175010004,2301003,140950.0,POINT (106.805011 -6.127325),Apartment (Others),Apartment,Property
36,5431839,5431839,668,Pluit Sea View Apartment,Jl. Muara Baru Raya,0216688888,106.806975,-6.12112,3175010004,2301003,140950.0,POINT (106.806975 -6.12112),Apartment (Others),Apartment,Property
37,5431841,5431841,668,Apartemen Green Bay Pluit Tower C,Pluit,NULL,106.779257,-6.108862,3175010005,2301003,141057.0,POINT (106.779257 -6.108862),Apartment (Others),Apartment,Property
38,5431856,5431856,668,Laguna Apartment Pluit,Pluit,085799996188,106.798985,-6.123285,3175010005,2301003,141057.0,POINT (106.798985 -6.123285),Apartment (Others),Apartment,Property
